file,province,main_sector,subsector,hazard,n_variables,n_with_legacy_weight,n_new_variables,n_rows,panel_overrides
generated/Eastern/POTABLE_WATER_FLOOD_EAS_V1_upload_template.xlsx,Eastern,Water Sector,Potable Water,Flood,11,7,4,45,"0 add, 0 retire"
generated/Eastern/POULTRY_DROUGHT_EAS_V1_upload_template.xlsx,Eastern,Livestock Sector,Poultry Farming,Drought,24,5,19,45,"0 add, 0 retire"
generated/Eastern/POULTRY_FLOOD_EAS_V1_upload_template.xlsx,Eastern,Livestock Sector,Poultry Farming,Flood,25,5,20,45,"0 add, 0 retire"
generated/Eastern/TOURISM_DROUGHT_EAS_V1_upload_template.xlsx,Eastern,Tourism Sector,,Drought,11,7,4,45,"0 add, 0 retire"
generated/Eastern/TOURISM_FLOOD_EAS_V1_upload_template.xlsx,Eastern,Tourism Sector,,Flood,12,7,5,45,"0 add, 0 retire"
generated/Eastern/TRANSPORTATION_FLOOD_EAS_V1_upload_template.xlsx,Eastern,Transportation Sector,,Flood,14,5,9,45,"0 add, 0 retire"
generated/North_Central/BUFFALO_DROUGHT_NCE_V1_upload_template.xlsx,North Central,Livestock Sector,Buffalo Farming,Drought,18,5,13,29,"0 add, 0 retire"
generated/North_Central/BUFFALO_FLOOD_NCE_V1_upload_template.xlsx,North Central,Livestock Sector,Buffalo Farming,Flood,19,5,14,29,"0 add, 0 retire"
generated/North_Central/CATTLE_DROUGHT_NCE_V1_upload_template.xlsx,North Central,Livestock Sector,Cattle Farming,Drought,18,5,13,29,"0 add, 0 retire"
generated/North_Central/CATTLE_FLOOD_NCE_V1_upload_template.xlsx,North Central,Livestock Sector,Cattle Farming,Flood,19,5,14,29,"0 add, 0 retire"
generated/North_Central/COCONUT_DROUGHT_NCE_V1_upload_template.xlsx,North Central,Agriculture Sector,Coconut,Drought,10,4,6,29,"0 add, 0 retire"
generated/North_Central/GOAT_DROUGHT_NCE_V1_upload_template.xlsx,North Central,Livestock Sector,Goat Farming,Drought,18,5,13,29,"0 add, 0 retire"
generated/North_Central/GOAT_FLOOD_NCE_V1_upload_template.xlsx,North Central,Livestock Sector,Goat Farming,Flood,19,5,14,29,"0 add, 0 retire"
generated/North_Central/HUMAN_SETTLEMENTS_DROUGHT_NCE_V1_upload_template.xlsx,North Central,Human Settlements Sector,,Drought,16,13,3,29,"0 add, 0 retire"
generated/North_Central/HUMAN_SETTLEMENTS_FLOOD_NCE_V1_upload_template.xlsx,North Central,Human Settlements Sector,,Flood,17,8,9,29,"0 add, 0 retire"
generated/North_Central/INDUSTRY_DROUGHT_NCE_V1_upload_template.xlsx,North Central,Industry Sector,,Drought,14,11,3,29,"0 add, 0 retire"
generated/North_Central/INDUSTRY_FLOOD_NCE_V1_upload_template.xlsx,North Central,Industry Sector,,Flood,15,10,5,29,"0 add, 0 retire"
generated/North_Central/IRRIGATION_WATER_DROUGHT_NCE_V1_upload_template.xlsx,North Central,Water Sector,Irrigation Water,Drought,9,4,5,29,"0 add, 0 retire"
generated/North_Central/IRRIGATION_WATER_FLOOD_NCE_V1_upload_template.xlsx,North Central,Water Sector,Irrigation Water,Flood,10,4,6,29,"0 add, 0 retire"
generated/North_Central/PADDY_DROUGHT_NCE_V1_upload_template.xlsx,North Central,Agriculture Sector,Paddy,Drought,12,8,4,29,"0 add, 0 retire"
generated/North_Central/PADDY_FLOOD_NCE_V1_upload_template.xlsx,North Central,Agriculture Sector,Paddy,Flood,15,9,6,29,"0 add, 0 retire"
generated/North_Central/PIG_AND_SHEEP_DROUGHT_NCE_V1_upload_template.xlsx,North Central,Livestock Sector,Pig and Sheep Farming,Drought,21,8,13,29,"0 add, 0 retire"
generated/North_Central/PIG_AND_SHEEP_FLOOD_NCE_V1_upload_template.xlsx,North Central,Livestock Sector,Pig and Sheep Farming,Flood,22,8,14,29,"0 add, 0 retire"
