proposed_code,canonical_name,raw_description_normalized
PCT_ROOFS_CONSIST_GALVANIZE_SHEETS,% of Roofs consist of Galvanize Sheets,% of roofs consist of galvanize sheets
PCT_ROOFS_CONSIST_GALVANIZE_SHEETS,% of Roofs consist of Galvanize Sheets,% roofs consist of galvanize sheets
PCT_TEMPORARY_HOUSES,% of temporary houses,% of temporary houses
PCT_SURFACE_AREA_WATER_BODIES,% surface area of water bodies within DS area,% surface area of water bodies within ds area
ANNUAL_AVERAGE_RAINFALL,Annual average rainfall,annual average rainfall
ANNUAL_MILK_PRODUCTION_L,Annual Milk Production (l),annual milk production l
DAILY_EGG_PRODUCTION,Daily Egg Production,daily egg production
FLOOD_AFFECTED_ROAD_LENGTH,Flood affected  road length,flood affected road length
HUMAN_ANIMAL_ATTACKS,Human Animal Attacks,human animal attacks
PROPER_SANITATION_FACILITIES,# of no proper sanitation facilities,no of no proper sanitation facilities
PROPER_SANITATION_FACILITIES,# of no proper sanitation facilities,of no proper sanitation facilities
SHEEP_FARMERS,# of Sheep Farmers,no of sheep farmers
SHEEP_FARMERS,# of Sheep Farmers,of sheep farmers
PASTURE_FODDER_EXTENT,Pasture & Fodder Extent,pasture fodder extent
SHEEP_POPULATION,Sheep Population,sheep population
TEA_EXTENT,Tea extent,tea extent
LIVESTOCK_FARMERS,Total livestock farmers,total livestock farmers
WATER_SURFACE_AREA,Water surface area,water surface area
FARM_HOUSEHOLD_S_POPULATION,Farm household's population,farm household s population
LANDSLIDE_HAZARD_INDEX,Landslide Hazard Index,landside hazard index
LANDSLIDE_HAZARD_INDEX,Landslide Hazard Index,landslide hazard index
AREA_CLASSIFIED_AS_URBAN,Total area classified as urban,total area classified as urban
PCT_LIVESTOCK_FARMERS_AGRICULTURAL_OPERATORS,% livestock farmers from total Agricultural Operators,% livestock farmers from total agricultural operators
PCT_HOUSES_WITH_VULNERABLE_ROOFS,% of houses with vulnerable roofs (Cadjan/Palmirah Roofs),% of houses with vulnerable roofs cadjan palmirah roofs
PCT_LANDSLIDE_AFFECTED_AREA,% of landslide affected area,% of landslide affected area
PCT_MULTI_STORIED_BUILDINGS,% of Multi Storied Buildings,% of multi storied buildings
ANNUAL_MUTTON_PRODUCTION_KG,Annual Mutton Production (Kg),annual mutton production kg
CUTTING_FAILURES_2000_2023,Cutting failures (2000 - 2023),cutting failures 2000 2023
ESTATE_SECTOR_POPULATION,Estate Sector population,estate sector population
LANDSLIDE_AFFECTED_MAIN_ROAD_LENGTH,Landslide affected main road length,landslide affected main road length
LANDSLIDE_AFFECTED_ROAD_LENGTH,landslide affected  road length,landslide affected road length
LANDSLIDE_AFFECTED_SECONDARY_ROAD_LENGTH,Landslide affected Secondary road length,landslide affected secondary road length
LANDSLIDE_AFFECTED_TRACK_LENGTH,Landslide affected Track length,landslide affected track length
LANDSLIDE_PRONE_HUMAN_SETTLEMENTS,Landslide prone Human Settlements,landslide prone human settlements
MITCH_BUFFALOES_MONTHLY_MILK_PRODUCTION,Mitch Buffaloes' Monthly Milk Production (l),mitch buffalo monthly milk production l
MITCH_BUFFALOES_MONTHLY_MILK_PRODUCTION,Mitch Buffaloes' Monthly Milk Production (l),mitch buffaloes monthly milk production l
MITCH_BUFFALOES_MONTHLY_MILK_PRODUCTION,Mitch Buffaloes' Monthly Milk Production (l),monthly mitch buffaloes milk production l
MITCH_BUFFALOES_DAILY_MILK_PRODUCTION,Mitch Buffaloes Daily Milk Production (l),mitch buffaloes daily milk production l
MITCH_COWS_DAILY_MILK_PRODUCTION,Mitch Cows' Daily Milk Production (l),mitch cows daily milk production l
BUFFALOES,No. of Buffaloes,no of buffaloes
BUFFALOES,No. of Buffaloes,of buffaloes
BUFFALOES,No. of Buffaloes,total buffaloes
BUILDINGS_LANDSLIDE_PRONE_AREA_HIGH,No. of buildings in landslide prone area (high and moderate),no of buildings in landslide prone area high and moderate
BUILDINGS_LANDSLIDE_PRONE_AREA_HIGH,No. of buildings in landslide prone area (high and moderate),no of of buildings in landslide prone area high and moderate
BUILDINGS_LANDSLIDE_PRONE_AREA_HIGH,No. of buildings in landslide prone area (high and moderate),of buildings in landslide prone area high and moderate
GOATS,No. of Goats,no of goats
GOATS,No. of Goats,of goats
GOATS,No. of Goats,total goats
POPULATION_DENSITY_DSD,Population density in DSD,population density in dsd
