province,district,ds_code,ds_division,ds_division_si,ds_code_official_num,ds_code_legacy,split_from,lon,lat,level,source
Eastern,Ampara,AM7,Irakkamam,ඉරක්කාමම්,7,EAS-007,,81.721239,7.24373,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM8,Kalmunai,(pending — official source not yet available),8,EAS-045,"Kalmunai (EAS-008, retired)",81.826528,7.404026,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM20,Kalmunai Tamil Division,(pending — official source not yet available),326,EAS-046,"Kalmunai (EAS-008, retired)",81.821497,7.421727,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM9,Karaitivu,කරෙයිතිවු,9,EAS-009,,81.833925,7.37431,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM10,Lahugala,ලාහුගල,10,EAS-010,,81.71443,6.746005,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM11,Mahaoya,මහඔය,11,EAS-011,,81.367151,7.548355,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM12,Navithanveli,නවිදන්වැලි,12,EAS-012,,81.758948,7.422379,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM13,Nintavur,නීන්දවුර්,13,EAS-013,,81.840846,7.327664,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM14,Padiyathalawa,පදියතලාව,14,EAS-014,,81.252947,7.42687,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM15,Pottuvil,පොතුවිල්,15,EAS-015,,81.799095,6.926285,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM16,Sainthamaruthu,සයින්දමරුතු,16,EAS-016,,81.833765,7.392039,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM17,Sammanthurai,සම්මන්තුරේ,17,EAS-017,,81.773466,7.332418,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM18,Tirukkovil,තිරුක්කෝවිල්,18,EAS-018,,81.7855,7.102299,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Ampara,AM19,Uhana,උහන,19,EAS-019,,81.603815,7.399129,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT1,Eravur Pattu,එරාවූර් පත්තු,57,EAS-020,,81.457323,7.678243,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT2,Eravur Town,එරාවූර් නගර,58,EAS-021,,81.609875,7.776559,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT3,Kattankudy,කාත්තන්කුඩි,59,EAS-022,,81.73101,7.683898,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT4,Koralai Pattu (Valachchenai),කෝරළේ පත්තු,61,EAS-023,,81.549387,7.907877,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT5,Koralai Pattu Central,කෝරළේ පත්තු මධ්‍යම,324,EAS-024,,81.513122,7.934349,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT6,Koralai Pattu North (Vaharai),කෝරළේ පත්තු උතුර,62,EAS-025,,81.361531,8.101425,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT7,Koralai Pattu South (Kiran),කෝරළේ පත්තු දකුණ,331,EAS-026,,81.377278,7.862768,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT8,Koralai Pattu West (Oddamavadi),කෝරළේ පත්තු බටහිර,60,EAS-027,,81.491379,7.918079,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT9,Manmunai North,මාන්මුනේ උතුර,63,EAS-028,,81.679775,7.73664,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT10,Manmunai Pattu (Araipattai),මාන්මුනේ පත්තු,64,EAS-029,,81.759159,7.636741,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT11,Manmunai South & Eruvil Pattu,මාන්මුනේ දකුණ සහ එ,65,EAS-030,,81.795028,7.520934,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT12,Manmunai South West,මාන්මුනේ නිරිත,66,EAS-031,,81.695382,7.577799,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT13,Manmunai West,මාන්මුනේ බටහිර,67,EAS-032,,81.606874,7.634191,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Batticaloa,BT14,Porativu Pattu,පොරතිවු පත්තු,68,EAS-033,,81.711718,7.481545,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Trincomalee,TR1,Gomarankadawala,ගෝමරන්කඩවල,310,EAS-034,,80.970923,8.753869,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Trincomalee,TR2,Kantale,කන්තලේ,311,EAS-035,,81.067501,8.339124,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Trincomalee,TR3,Kinniya,කින්නියා,312,EAS-036,,81.158392,8.440754,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Eastern,Trincomalee,TR4,Kuchchaweli,කුච්චවේලි,313,EAS-037,,81.059703,8.807325,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
